NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Caribou County, Idaho",16,029,7058,3704
"Cassia County, Idaho",16,031,24859,12741
"Clark County, Idaho",16,033,756,387
"Clearwater County, Idaho",16,035,8810,4912
"Custer County, Idaho",16,037,4344,2286
"Elmore County, Idaho",16,039,28752,15367
"Franklin County, Idaho",16,041,14376,7425
"Fremont County, Idaho",16,043,13519,7028
"Gem County, Idaho",16,045,19250,9776
"Gooding County, Idaho",16,047,15520,7917
"Idaho County, Idaho",16,049,16787,8835
"Jefferson County, Idaho",16,051,31383,16051
"Jerome County, Idaho",16,053,24474,12576
"Kootenai County, Idaho",16,055,173396,86516
"Latah County, Idaho",16,057,39872,20524
"Lemhi County, Idaho",16,059,8043,4228
"Lewis County, Idaho",16,061,3630,1825
"Lincoln County, Idaho",16,063,5203,2779
"Madison County, Idaho",16,065,52487,23769
"Minidoka County, Idaho",16,067,21626,10930
"Nez Perce County, Idaho",16,069,42200,21000
"Oneida County, Idaho",16,071,4572,2315
"Owyhee County, Idaho",16,073,12043,6238
"Payette County, Idaho",16,075,25571,12729
"Power County, Idaho",16,077,7918,3982
"Shoshone County, Idaho",16,079,13399,6666
"Teton County, Idaho",16,081,11813,6046
"Twin Falls County, Idaho",16,083,90592,45073
"Valley County, Idaho",16,085,11830,6165
"Washington County, Idaho",16,087,10612,5264
"Adams County, Illinois",17,001,65583,32311
"Alexander County, Illinois",17,003,5261,2561
"Bond County, Illinois",17,005,16750,8893
"Boone County, Illinois",17,007,53459,26938
"Brown County, Illinois",17,009,6334,3992
"Bureau County, Illinois",17,011,33203,16455
"Calhoun County, Illinois",17,013,4472,2298
"Carroll County, Illinois",17,015,15594,8383
"Cass County, Illinois",17,017,12955,6557
"Champaign County, Illinois",17,019,206525,103245
"Christian County, Illinois",17,021,33893,17737
"Clark County, Illinois",17,023,15467,7715
"Clay County, Illinois",17,025,13248,6650
"Clinton County, Illinois",17,027,36998,19318
"Coles County, Illinois",17,029,47076,23095
"Cook County, Illinois",17,031,5225367,2554641
"Crawford County, Illinois",17,033,18729,9989
